,Ws_avg
2013-07-03 05:20:00+00:00,7.35249995
2013-07-03 05:30:00+00:00,7.528749925
2013-07-03 05:40:00+00:00,7.7049999
2013-07-03 05:50:00+00:00,7.881249875
2013-07-03 06:00:00+00:00,8.05749985
2013-07-03 06:10:00+00:00,8.233749825
2013-07-03 06:20:00+00:00,8.4099998
2013-07-03 06:30:00+00:00,9.5500002
2013-07-03 06:40:00+00:00,7.8600001
2013-07-03 06:50:00+00:00,7.9400001
2013-07-03 07:00:00+00:00,7.74000005
2013-07-03 07:10:00+00:00,7.54
2013-07-03 07:20:00+00:00,7.469999966666666
2013-07-03 07:30:00+00:00,7.399999933333333
2013-07-03 07:40:00+00:00,7.3299999
2013-07-03 07:50:00+00:00,7.9499998
2013-07-03 08:00:00+00:00,8.03999995
2013-07-03 08:10:00+00:00,8.1300001
2013-07-03 08:20:00+00:00,7.40499995
2013-07-03 08:30:00+00:00,6.6799998
2013-07-03 08:40:00+00:00,7.7199998
2013-07-03 08:50:00+00:00,7.196666566666667
2013-07-03 09:00:00+00:00,6.673333333333333
2013-07-03 09:10:00+00:00,6.1500001
2013-07-03 09:20:00+00:00,6.52
2013-07-03 09:30:00+00:00,5.6999998
2013-07-03 09:40:00+00:00,6.5799999
2013-07-03 09:50:00+00:00,7.46
2013-07-03 10:00:00+00:00,6.54
2013-07-03 10:10:00+00:00,6.13249995
2013-07-03 10:20:00+00:00,5.7249999
2013-07-03 10:30:00+00:00,5.31749985
2013-07-03 10:40:00+00:00,4.9099998
2013-07-03 10:50:00+00:00,5.8899999
2013-07-03 11:00:00+00:00,6.8400002
2013-07-03 11:10:00+00:00,6.49500015
2013-07-03 11:20:00+00:00,6.1500001
2013-07-03 11:30:00+00:00,5.895
2013-07-03 11:40:00+00:00,5.6399999
2013-07-03 11:50:00+00:00,6.8600001
2013-07-03 12:00:00+00:00,6.7680001
2013-07-03 12:10:00+00:00,6.6760001
2013-07-03 12:20:00+00:00,6.5840001
2013-07-03 12:30:00+00:00,6.492000099999999
2013-07-03 12:40:00+00:00,6.4000001
2013-07-03 12:50:00+00:00,6.52
2013-07-03 13:00:00+00:00,6.6399999
2013-07-03 13:10:00+00:00,6.403333216666667
2013-07-03 13:20:00+00:00,6.166666533333333
2013-07-03 13:30:00+00:00,5.92999985
2013-07-03 13:40:00+00:00,5.693333166666667
2013-07-03 13:50:00+00:00,5.456666483333334
2013-07-03 14:00:00+00:00,5.2199998
2013-07-03 14:10:00+00:00,4.9099998
2013-07-03 14:20:00+00:00,5.0349998
2013-07-03 14:30:00+00:00,5.1599998
2013-07-03 14:40:00+00:00,5.184999899999999
2013-07-03 14:50:00+00:00,5.21
2013-07-03 15:00:00+00:00,5.185000025
2013-07-03 15:10:00+00:00,5.16000005
2013-07-03 15:20:00+00:00,5.135000075
2013-07-03 15:30:00+00:00,5.1100001
2013-07-03 15:40:00+00:00,4.79999995
2013-07-03 15:50:00+00:00,4.4899998
2013-07-03 16:00:00+00:00,5.013999859999999
2013-07-03 16:10:00+00:00,5.53799992
2013-07-03 16:20:00+00:00,6.06199998
2013-07-03 16:30:00+00:00,6.58600004
2013-07-03 16:40:00+00:00,7.1100001
2013-07-03 16:50:00+00:00,6.4299998
2013-07-03 17:00:00+00:00,6.0
2013-07-03 17:10:00+00:00,5.70000005
2013-07-03 17:20:00+00:00,5.4000001
2013-07-03 17:30:00+00:00,5.1000001500000005
2013-07-03 17:40:00+00:00,4.8000002
2013-07-03 17:50:00+00:00,4.4099998
2013-07-03 18:00:00+00:00,4.713333266666666
2013-07-03 18:10:00+00:00,5.0166667333333335
2013-07-03 18:20:00+00:00,5.3200002
2013-07-03 18:30:00+00:00,6.0999999
2013-07-03 18:40:00+00:00,5.9833332666666665
2013-07-03 18:50:00+00:00,5.866666633333334
2013-07-03 19:00:00+00:00,5.75
2013-07-03 19:10:00+00:00,5.633333366666666
2013-07-03 19:20:00+00:00,5.5166667333333335
2013-07-03 19:30:00+00:00,5.4000001
2013-07-03 19:40:00+00:00,5.560000039999999
2013-07-03 19:50:00+00:00,5.71999998
2013-07-03 20:00:00+00:00,5.87999992
2013-07-03 20:10:00+00:00,6.03999986
2013-07-03 20:20:00+00:00,6.1999998
2013-07-03 20:30:00+00:00,5.6999998
2013-07-03 20:40:00+00:00,5.9899998
2013-07-03 20:50:00+00:00,5.913333266666666
